X,Y
-1.114380429739459721e+00,9.433919791509534081e-01
-1.113242267983981515e+00,9.436157384610454057e-01
-1.120719259136214285e+00,9.440761825887263869e-01
-1.117773160366870133e+00,9.447267099050217221e-01
-1.121418950267411230e+00,9.502047917766248686e-01
-1.123637267033813947e+00,9.479832832339956106e-01
-1.127599662049912910e+00,9.499197963297414393e-01
-1.126860341091020512e+00,9.473556263230009655e-01
-1.118417042510748249e+00,9.508022686729071804e-01
-1.130113011230287068e+00,9.487648590315164165e-01
-1.128692831970627086e+00,9.495460224073317690e-01
-1.114646573885273995e+00,9.488814022727773967e-01
-1.119212574086518419e+00,9.452050245644758597e-01
-1.129208867250422355e+00,9.380354863706152901e-01
-1.119392129954365434e+00,9.418605647749254128e-01
-1.096102921642067241e+00,9.452282852700883975e-01
-1.098890270254450074e+00,9.395355463601717805e-01
-1.091413633923143056e+00,9.512058522551430917e-01
-1.087556884871167195e+00,9.489716681508904017e-01
-1.084016753248477016e+00,9.462274107646657662e-01
-1.089067073999782531e+00,9.456318130791453447e-01
-1.086595124848600102e+00,9.536612064318814586e-01
-1.092861866702415474e+00,9.532205017882684484e-01
-1.094025822436792694e+00,9.572048959603832730e-01
-1.096645155951440964e+00,9.619442884963985696e-01
-1.061848647757675845e+00,-6.974682881599477691e-01
-1.058663054634172429e+00,-7.046245734901568358e-01
-1.059339529140559177e+00,-7.001177327349290547e-01
-1.063023698582402865e+00,-6.973058505319427169e-01
-1.057403892756749952e+00,-6.998065328157384579e-01
-1.055471511684858088e+00,-7.006371023065792736e-01
-1.058183936674836456e+00,-6.976571618099142169e-01
-1.059528199740861210e+00,-7.003494818268487521e-01
-1.061464787246838792e+00,-7.012735258858209253e-01
-1.057720109348067261e+00,-7.051118222542614999e-01
-1.055003608083951550e+00,-6.993781766802229516e-01
-1.053217362269280866e+00,-7.027420974323574931e-01
-1.057610642690518077e+00,-6.951974349667147113e-01
-1.054927668764353843e+00,-6.996681718293231711e-01
-1.055014463375365308e+00,-6.978990280465309226e-01
-1.048720781774426847e+00,-7.027099393254042647e-01
-1.044871684854917770e+00,-7.018450685777481990e-01
-1.042156147295405066e+00,-7.025696423584003592e-01
-1.047828633769359641e+00,-6.960174972341435229e-01
-1.047063468806797015e+00,-6.957443463063637257e-01
-1.049293460848913728e+00,-6.938109608077140944e-01
-1.048983969634895042e+00,-6.942271184232097214e-01
-1.050583670295229588e+00,-6.973674335112374223e-01
-1.049443129977682521e+00,-7.011743486531032410e-01
-1.047281413897251490e+00,-7.097858779624397485e-01
-1.048029197539978474e+00,-7.060589524560364483e-01
-1.049324963314086201e+00,-7.021710947960796423e-01
-1.051631688339913051e+00,-7.031896414148938179e-01
-1.049856850982993084e+00,-7.025074606430954383e-01
-1.049507651133778863e+00,-6.989458386940881063e-01
-1.047935081679950198e+00,-6.926725760926891740e-01
-1.048348975362580315e+00,-6.901407531370810089e-01
-1.046004744861612101e+00,-6.919460298039600277e-01
-1.047949921591624811e+00,-6.904098007269391379e-01
-1.050301097548531626e+00,-6.890946960511725727e-01
-1.051267543052197606e+00,-6.892101776291518211e-01
-1.052618659991511274e+00,-6.869867802319447048e-01
-1.051951817365515351e+00,-6.846000706939920910e-01
-1.051862996830427166e+00,-6.822440673835132863e-01
-1.052993804933422206e+00,-6.849863293338877002e-01
-1.056421681517636602e+00,-6.836761576598197054e-01
-1.055594294438374270e+00,-6.827063157519839276e-01
-1.054112324850728477e+00,-6.799405888620474459e-01
-1.058586458170484912e+00,-6.826635422090652217e-01
-1.058430473116164450e+00,-6.770874207471371253e-01
-1.058987790808660678e+00,-6.769341141170313048e-01
-1.058191450530256317e+00,-6.811533235976469092e-01
-1.056824113143154609e+00,-6.854085040270945228e-01
-1.055135316673832424e+00,-6.857331248305065241e-01
-1.056072955084116138e+00,-6.872990482231100540e-01
-1.050684009930787033e+00,-6.923886420049937263e-01
-1.051023827690072299e+00,-6.882345225343816653e-01
-1.050201618122350578e+00,-6.875259771983770474e-01
-1.050182996841681149e+00,-6.859186269548991355e-01
-1.048517130760771021e+00,-6.739595175521769788e-01
-1.047862988684359120e+00,-6.743310731337326391e-01
-1.046333676224099563e+00,-6.712289829776973971e-01
-1.046143798579200812e+00,-6.710244791275803422e-01
-1.045155486919975285e+00,-6.714201990411874377e-01
-1.047214704828972609e+00,-6.730478863457060035e-01
-1.052133092605152198e+00,-6.666629423331774662e-01
-1.053260361855520522e+00,-6.675246042992296625e-01
-1.049575399243649620e+00,-6.778705014315271615e-01
-1.052576368704405629e+00,-6.781164677412220287e-01
-1.047774707232094871e+00,-6.781516336441704151e-01
-1.051552731106710326e+00,-6.769078310536266185e-01
-1.052372431274839482e+00,-6.724194018921330063e-01
-1.050739290448503560e+00,-6.718343941809274966e-01
-1.049377557114130610e+00,-6.783456328392661883e-01
-1.048278631289519147e+00,-6.773599819839085656e-01
-1.048556469194528606e+00,-6.792196802110800347e-01
-1.049042683554736843e+00,-6.793612168247278316e-01
-1.047113640901301324e+00,-6.771510551228475672e-01
